adName,大类,wgs84_lng,wgs84_lat
新城区,政府机构及社会团体,108.946379,34.26266
新城区,政府机构及社会团体,108.952283,34.266386
新城区,政府机构及社会团体,108.946476,34.262663
新城区,政府机构及社会团体,108.952103,34.267536
新城区,政府机构及社会团体,108.946545,34.265792
新城区,政府机构及社会团体,108.945032,34.264911
新城区,政府机构及社会团体,108.946473,34.265563
新城区,政府机构及社会团体,108.951577,34.266096
新城区,政府机构及社会团体,108.946369,34.265579
新城区,政府机构及社会团体,108.952935,34.274904
新城区,政府机构及社会团体,108.946331,34.267446
新城区,政府机构及社会团体,108.946406,34.266872
新城区,政府机构及社会团体,108.945072,34.26433
新城区,政府机构及社会团体,108.961089,34.271802
新城区,政府机构及社会团体,108.948152,34.275087
新城区,政府机构及社会团体,108.961119,34.271695
新城区,政府机构及社会团体,108.952889,34.27487
新城区,政府机构及社会团体,108.948203,34.275057
新城区,政府机构及社会团体,108.948095,34.275103
新城区,政府机构及社会团体,108.961261,34.272492
新城区,政府机构及社会团体,108.961167,34.271794
新城区,政府机构及社会团体,108.961269,34.266891
新城区,政府机构及社会团体,108.960181,34.265997
新城区,政府机构及社会团体,108.959914,34.268571
新城区,政府机构及社会团体,108.960737,34.273841
新城区,政府机构及社会团体,108.956036,34.269301
新城区,政府机构及社会团体,108.956029,34.264707
新城区,政府机构及社会团体,108.952172,34.267498
新城区,政府机构及社会团体,108.960655,34.274044
新城区,政府机构及社会团体,108.956587,34.26979
新城区,政府机构及社会团体,108.96114,34.267161
新城区,政府机构及社会团体,108.960729,34.267343
新城区,政府机构及社会团体,108.961031,34.267286
新城区,政府机构及社会团体,108.959328,34.26976
新城区,政府机构及社会团体,108.956637,34.264787
新城区,政府机构及社会团体,108.956613,34.269987
新城区,政府机构及社会团体,108.956587,34.269791
新城区,政府机构及社会团体,108.956685,34.264944
新城区,政府机构及社会团体,108.956583,34.264919
新城区,政府机构及社会团体,108.956618,34.269833
新城区,政府机构及社会团体,108.951757,34.266248
新城区,政府机构及社会团体,108.95125,34.264979
新城区,政府机构及社会团体,108.951476,34.269167
新城区,政府机构及社会团体,108.951621,34.266163
新城区,政府机构及社会团体,108.959802,34.26861
新城区,政府机构及社会团体,108.960655,34.274044
新城区,政府机构及社会团体,108.960632,34.274021
新城区,政府机构及社会团体,108.94647,34.265558
新城区,政府机构及社会团体,108.962115,34.263806
新城区,政府机构及社会团体,108.952888,34.27501
新城区,政府机构及社会团体,108.946493,34.26547
新城区,政府机构及社会团体,108.960697,34.270611
新城区,政府机构及社会团体,108.954543,34.275053
新城区,政府机构及社会团体,108.953984,34.271292
新城区,政府机构及社会团体,108.954525,34.274979
新城区,政府机构及社会团体,108.960726,34.274856
新城区,政府机构及社会团体,108.960697,34.270611
新城区,政府机构及社会团体,108.960582,34.270609
新城区,政府机构及社会团体,108.95544,34.275297
新城区,政府机构及社会团体,108.960404,34.274698
新城区,政府机构及社会团体,108.961082,34.271795
新城区,政府机构及社会团体,108.946825,34.275337
新城区,政府机构及社会团体,108.954377,34.275024
新城区,政府机构及社会团体,108.955035,34.270268
新城区,政府机构及社会团体,108.952888,34.27501
新城区,政府机构及社会团体,108.952911,34.275159
新城区,政府机构及社会团体,108.947083,34.27531
新城区,政府机构及社会团体,108.953041,34.275322
新城区,政府机构及社会团体,108.953041,34.275322
新城区,政府机构及社会团体,108.953041,34.275322
新城区,政府机构及社会团体,108.953041,34.275322
新城区,政府机构及社会团体,108.953041,34.275322
新城区,政府机构及社会团体,108.949877,34.264823
新城区,政府机构及社会团体,108.951039,34.265194
新城区,政府机构及社会团体,108.951281,34.265138
新城区,政府机构及社会团体,108.999348,34.281223
新城区,政府机构及社会团体,109.00214,34.290946
新城区,政府机构及社会团体,109.011372,34.289586
新城区,政府机构及社会团体,109.002571,34.291078
新城区,政府机构及社会团体,109.003642,34.279317
新城区,政府机构及社会团体,109.00721,34.27909
新城区,政府机构及社会团体,109.01343,34.289139
新城区,政府机构及社会团体,108.99766,34.284913
新城区,政府机构及社会团体,109.000737,34.290285
新城区,政府机构及社会团体,109.000417,34.289653
新城区,政府机构及社会团体,109.002049,34.281604
新城区,政府机构及社会团体,109.001272,34.286745
新城区,政府机构及社会团体,109.002048,34.284053
新城区,政府机构及社会团体,109.002046,34.281613
新城区,政府机构及社会团体,109.011161,34.289441
新城区,政府机构及社会团体,109.009241,34.288526
新城区,政府机构及社会团体,109.003506,34.289618
新城区,政府机构及社会团体,109.001352,34.288065
新城区,政府机构及社会团体,109.001273,34.288168
新城区,政府机构及社会团体,109.005644,34.290451
新城区,政府机构及社会团体,109.002088,34.281753
新城区,政府机构及社会团体,109.011275,34.28337
新城区,政府机构及社会团体,109.002572,34.290032
新城区,政府机构及社会团体,109.002452,34.290222
新城区,政府机构及社会团体,109.001247,34.288159
新城区,政府机构及社会团体,109.001842,34.278215
新城区,政府机构及社会团体,108.999208,34.279904
新城区,政府机构及社会团体,109.004508,34.278744
新城区,政府机构及社会团体,109.00517,34.278884
新城区,政府机构及社会团体,108.998366,34.279883
新城区,政府机构及社会团体,109.001098,34.276985
新城区,政府机构及社会团体,109.015962,34.289556
新城区,政府机构及社会团体,108.997227,34.284135
新城区,政府机构及社会团体,108.999085,34.280728
新城区,政府机构及社会团体,109.014971,34.288865
新城区,政府机构及社会团体,108.997686,34.282043
新城区,政府机构及社会团体,108.997746,34.282045
新城区,政府机构及社会团体,108.999522,34.281118
新城区,政府机构及社会团体,108.999211,34.279911
新城区,政府机构及社会团体,109.01522,34.289132
新城区,政府机构及社会团体,108.999229,34.279712
新城区,政府机构及社会团体,108.999199,34.279904
新城区,政府机构及社会团体,108.999206,34.279903
新城区,政府机构及社会团体,109.015067,34.289127
新城区,政府机构及社会团体,109.00184,34.278208
新城区,政府机构及社会团体,108.99928,34.279934
新城区,政府机构及社会团体,109.001942,34.278279
新城区,政府机构及社会团体,108.999056,34.253132
新城区,政府机构及社会团体,109.005456,34.25398
新城区,政府机构及社会团体,108.999274,34.253194
新城区,政府机构及社会团体,108.99909,34.253328
新城区,政府机构及社会团体,108.99904,34.253327
新城区,政府机构及社会团体,108.999096,34.253325
新城区,政府机构及社会团体,108.999093,34.253326
新城区,政府机构及社会团体,108.942801,34.272621
新城区,政府机构及社会团体,108.942801,34.272714
新城区,政府机构及社会团体,108.999093,34.253326
新城区,政府机构及社会团体,109.005663,34.246013
新城区,政府机构及社会团体,108.957361,34.271811
新城区,政府机构及社会团体,109.00556,34.246179
新城区,政府机构及社会团体,108.958557,34.272987
新城区,政府机构及社会团体,108.995794,34.252848
新城区,政府机构及社会团体,108.957148,34.271881
新城区,政府机构及社会团体,108.999093,34.253326
新城区,政府机构及社会团体,108.99904,34.253327
新城区,政府机构及社会团体,108.942812,34.272624
新城区,政府机构及社会团体,108.948881,34.27327
新城区,政府机构及社会团体,108.959144,34.273296
新城区,政府机构及社会团体,108.956626,34.271939
新城区,政府机构及社会团体,108.948756,34.273286
新城区,政府机构及社会团体,109.00518,34.250828
新城区,政府机构及社会团体,108.956577,34.27174
新城区,政府机构及社会团体,108.959075,34.273084
新城区,政府机构及社会团体,108.956492,34.271798
新城区,政府机构及社会团体,108.958488,34.27394
新城区,政府机构及社会团体,108.942891,34.27254
新城区,政府机构及社会团体,108.956626,34.271939
新城区,政府机构及社会团体,108.956678,34.271877
新城区,政府机构及社会团体,108.959109,34.273091
新城区,政府机构及社会团体,108.958488,34.27394
新城区,政府机构及社会团体,108.963167,34.263619
新城区,政府机构及社会团体,109.004493,34.2462
新城区,政府机构及社会团体,109.004341,34.246412
新城区,政府机构及社会团体,109.004879,34.247534
新城区,政府机构及社会团体,109.004705,34.246914
新城区,政府机构及社会团体,109.004922,34.247519
新城区,政府机构及社会团体,109.005004,34.247432
新城区,政府机构及社会团体,109.005337,34.253802
新城区,政府机构及社会团体,108.959419,34.272941
新城区,政府机构及社会团体,108.957372,34.271225
新城区,政府机构及社会团体,109.005675,34.246015
新城区,政府机构及社会团体,109.005622,34.245873
新城区,政府机构及社会团体,108.956682,34.271866
新城区,政府机构及社会团体,108.96211,34.261429
新城区,政府机构及社会团体,108.962121,34.261436
新城区,政府机构及社会团体,108.96332,34.263452
新城区,政府机构及社会团体,108.962425,34.267815
新城区,政府机构及社会团体,108.962397,34.267752
新城区,政府机构及社会团体,108.962689,34.272964
新城区,政府机构及社会团体,108.961698,34.270079
新城区,政府机构及社会团体,108.944703,34.271225
新城区,政府机构及社会团体,108.945106,34.273948
新城区,政府机构及社会团体,108.94367,34.271837
新城区,政府机构及社会团体,108.961797,34.271043
新城区,政府机构及社会团体,108.962644,34.272875
新城区,政府机构及社会团体,108.962689,34.272964
新城区,政府机构及社会团体,108.962837,34.274182
新城区,政府机构及社会团体,108.975881,34.268857
新城区,政府机构及社会团体,108.964578,34.275074
新城区,政府机构及社会团体,108.975878,34.269005
新城区,政府机构及社会团体,108.962651,34.273314
新城区,政府机构及社会团体,108.962086,34.270061
新城区,政府机构及社会团体,108.962085,34.270944
新城区,政府机构及社会团体,108.96243,34.267849
新城区,政府机构及社会团体,108.95607,34.264013
新城区,政府机构及社会团体,108.956034,34.264112
新城区,政府机构及社会团体,108.975889,34.268882
新城区,政府机构及社会团体,108.952291,34.263182
新城区,政府机构及社会团体,109.004694,34.244803
新城区,政府机构及社会团体,108.954209,34.263848
新城区,政府机构及社会团体,108.954348,34.263458
新城区,政府机构及社会团体,108.946531,34.271771
新城区,政府机构及社会团体,108.962377,34.267168
新城区,政府机构及社会团体,108.966087,34.264986
新城区,政府机构及社会团体,108.962604,34.267691
新城区,政府机构及社会团体,108.962412,34.267879
新城区,政府机构及社会团体,108.962706,34.267697
新城区,政府机构及社会团体,108.949861,34.262565
新城区,政府机构及社会团体,109.005218,34.250819
新城区,政府机构及社会团体,109.005257,34.250813
新城区,政府机构及社会团体,108.942823,34.272634
新城区,政府机构及社会团体,109.005091,34.256403
新城区,政府机构及社会团体,109.004665,34.266438
新城区,政府机构及社会团体,109.005693,34.268381
新城区,政府机构及社会团体,109.004594,34.266022
新城区,政府机构及社会团体,109.005238,34.254962
新城区,政府机构及社会团体,108.96391,34.262355
新城区,政府机构及社会团体,108.944633,34.268426
新城区,政府机构及社会团体,108.948881,34.273259
新城区,政府机构及社会团体,108.950578,34.271335
新城区,政府机构及社会团体,108.950732,34.271735
新城区,政府机构及社会团体,108.950763,34.271821
新城区,政府机构及社会团体,108.949307,34.273263
新城区,政府机构及社会团体,108.959602,34.271955
新城区,政府机构及社会团体,108.948694,34.273272
新城区,政府机构及社会团体,108.958512,34.274362
新城区,政府机构及社会团体,108.950749,34.271889
新城区,政府机构及社会团体,108.9567,34.271138
新城区,政府机构及社会团体,108.959582,34.272005
新城区,政府机构及社会团体,108.959585,34.272055
新城区,政府机构及社会团体,108.942777,34.267613
新城区,政府机构及社会团体,108.948678,34.273253
新城区,政府机构及社会团体,108.950231,34.273772
新城区,政府机构及社会团体,109.005728,34.246112
新城区,政府机构及社会团体,108.956626,34.271939
新城区,政府机构及社会团体,108.959106,34.273054
新城区,政府机构及社会团体,108.956696,34.271862
新城区,政府机构及社会团体,108.950831,34.271774
新城区,政府机构及社会团体,108.950126,34.271175
新城区,政府机构及社会团体,108.95023,34.271748
新城区,政府机构及社会团体,108.951172,34.272994
新城区,政府机构及社会团体,108.949128,34.273264
新城区,政府机构及社会团体,108.950615,34.271747
新城区,政府机构及社会团体,108.944286,34.268523
新城区,政府机构及社会团体,108.959575,34.271987
新城区,政府机构及社会团体,108.963,34.27417
新城区,政府机构及社会团体,109.005436,34.253785
新城区,政府机构及社会团体,109.004489,34.263774
新城区,政府机构及社会团体,109.005007,34.256357
新城区,政府机构及社会团体,108.949861,34.262565
新城区,政府机构及社会团体,108.949861,34.262565
新城区,政府机构及社会团体,108.950797,34.263716
新城区,政府机构及社会团体,109.004964,34.257238
新城区,政府机构及社会团体,109.004756,34.2571
新城区,政府机构及社会团体,109.00477,34.257281
新城区,政府机构及社会团体,109.004806,34.25725
新城区,政府机构及社会团体,108.962049,34.270101
新城区,政府机构及社会团体,108.9624,34.267258
新城区,政府机构及社会团体,108.962399,34.267138
新城区,政府机构及社会团体,108.981582,34.28478
新城区,政府机构及社会团体,109.016211,34.289552
新城区,政府机构及社会团体,108.996569,34.277869
新城区,政府机构及社会团体,108.996609,34.278096
新城区,政府机构及社会团体,108.996714,34.278141
新城区,政府机构及社会团体,109.018395,34.289003
新城区,政府机构及社会团体,108.993064,34.285604
新城区,政府机构及社会团体,108.996601,34.278034
新城区,政府机构及社会团体,108.994107,34.279236
新城区,政府机构及社会团体,108.9966,34.278056
新城区,政府机构及社会团体,108.963549,34.27549
新城区,政府机构及社会团体,108.963493,34.27547
新城区,政府机构及社会团体,108.9782,34.28942
新城区,政府机构及社会团体,108.969673,34.290354
新城区,政府机构及社会团体,108.952654,34.276271
新城区,政府机构及社会团体,108.969991,34.289798
新城区,政府机构及社会团体,108.952899,34.275935
新城区,政府机构及社会团体,108.988772,34.289888
新城区,政府机构及社会团体,108.947739,34.282327
新城区,政府机构及社会团体,108.950721,34.276084
新城区,政府机构及社会团体,108.991866,34.280117
新城区,政府机构及社会团体,108.957668,34.276195
新城区,政府机构及社会团体,108.959874,34.278715
新城区,政府机构及社会团体,108.952893,34.275935
新城区,政府机构及社会团体,108.969735,34.290253
新城区,政府机构及社会团体,108.963695,34.275378
新城区,政府机构及社会团体,108.952903,34.275949
新城区,政府机构及社会团体,108.969715,34.290246
新城区,政府机构及社会团体,108.967383,34.293094
新城区,政府机构及社会团体,108.971781,34.289768
新城区,政府机构及社会团体,108.964576,34.278934
新城区,政府机构及社会团体,108.968748,34.284559
新城区,政府机构及社会团体,108.973285,34.279701
新城区,政府机构及社会团体,108.969949,34.289209
新城区,政府机构及社会团体,108.970965,34.289702
新城区,政府机构及社会团体,108.967695,34.293741
新城区,政府机构及社会团体,108.971606,34.289621
新城区,政府机构及社会团体,108.966963,34.293954
新城区,政府机构及社会团体,108.979969,34.281157
新城区,政府机构及社会团体,108.97188,34.289668
新城区,政府机构及社会团体,108.971941,34.289659
新城区,政府机构及社会团体,108.970291,34.281432
新城区,政府机构及社会团体,108.981989,34.277812
新城区,政府机构及社会团体,108.970332,34.275516
新城区,政府机构及社会团体,108.97036,34.27919
新城区,政府机构及社会团体,108.97514,34.27947
新城区,政府机构及社会团体,108.973845,34.280518
新城区,政府机构及社会团体,108.985716,34.278284
新城区,政府机构及社会团体,108.977605,34.29625
新城区,政府机构及社会团体,108.970084,34.289382
新城区,政府机构及社会团体,108.95071,34.276097
新城区,政府机构及社会团体,108.952961,34.275661
新城区,政府机构及社会团体,108.952976,34.27567
新城区,政府机构及社会团体,108.9799,34.28727
新城区,政府机构及社会团体,108.94639,34.278757
新城区,政府机构及社会团体,108.970253,34.289403
新城区,政府机构及社会团体,108.97514,34.27947
新城区,政府机构及社会团体,108.981429,34.278722
新城区,政府机构及社会团体,108.983435,34.281501
新城区,政府机构及社会团体,108.981899,34.281175
新城区,政府机构及社会团体,108.982694,34.279157
新城区,政府机构及社会团体,108.984114,34.282274
新城区,政府机构及社会团体,108.982115,34.279134
新城区,政府机构及社会团体,108.981013,34.281724
新城区,政府机构及社会团体,108.984775,34.278719
新城区,政府机构及社会团体,108.968629,34.275598
新城区,政府机构及社会团体,108.973881,34.280533
新城区,政府机构及社会团体,108.971189,34.27662
新城区,政府机构及社会团体,108.968736,34.275644
新城区,政府机构及社会团体,108.968629,34.275576
新城区,政府机构及社会团体,108.966064,34.282251
新城区,政府机构及社会团体,108.972493,34.279297
新城区,政府机构及社会团体,108.968961,34.277546
